,datetime,name,tempmax,tempmin,temp温度,feelslikemax,feelslikemin,feelslike（体感温度）,dew,"humidity
（湿度）","precip
（降水）","precipprob 
（降水概率）","precipcover
（降水覆盖范围）","preciptype
（降水类型）",snow,snowdepth,"windgust
（阵风）","windspeed
（风速）","winddir
（风向）","sealevelpressure
（海平面气压）","cloudcover
（云量）","visibility
（能见度）","solar radiation
（太阳辐射）","solar energy
（太阳辐射能）","uvindex
（紫外线）","severerisk
（严重风险）","sunrise
（日出时间）","sunset
（日落时间）","moon phase
（月相）","conditions
（气象条件）","description
（描述）","icon
（气象图标）","stations
（气象观测站位置）"
11,2013/1/11,Beijing,1,-9,-3.9,1,-9,-5.5,-8,74.6,0,0,0,,,,,10.8,13.8,1024.2,24.6,2.2,94.1,8.2,4,,2013-01-11T07:35:35,2013-01-11T17:09:18,0.98,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
12,2013/1/12,Beijing,-1,-11.9,-7.1,-3.6,-14.1,-8.8,-9.6,82.7,0,0,0,,,,,7.2,121.2,1023.3,0,2.3,110.1,9.5,5,,2013-01-12T07:35:20,2013-01-12T17:10:21,0,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
13,2013/1/13,Beijing,0,-7,-3.4,-2.1,-10.6,-5.8,-6.8,78.5,0,0,0,,,,,10.8,273.5,1024.7,20,1.8,91.7,8,4,,2013-01-13T07:35:02,2013-01-13T17:11:25,0.04,Clear,Partly cloudy throughout the day.,clear-day,"ZBAA,54511099999"
14,2013/1/14,Beijing,0.1,-10,-4.8,-2.3,-16.2,-7.8,-7.7,80.7,0,0,0,,,,,18,116.1,1027.3,25.8,3,100.3,8.5,4,,2013-01-14T07:34:43,2013-01-14T17:12:29,0.08,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
15,2013/1/15,Beijing,-0.9,-8,-4.7,-0.9,-11.7,-6.9,-7.5,80.7,0,0,0,,,,,14.4,145.5,1026.4,40.4,6.6,111.2,9.5,5,,2013-01-15T07:34:21,2013-01-15T17:13:35,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
16,2013/1/16,Beijing,1,-9,-4,-2,-13.1,-7.5,-13.4,52.1,0,0,0,,,,,21.6,16.9,1032.9,3.8,8.6,120.7,10.4,5,,2013-01-16T07:33:57,2013-01-16T17:14:41,0.14,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
17,2013/1/17,Beijing,3,-9,-3.5,1,-14.9,-6.7,-15.6,41.4,0,0,0,,,,,18,40.7,1037.2,0,12.9,125.9,10.9,5,,2013-01-17T07:33:31,2013-01-17T17:15:48,0.17,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
18,2013/1/18,Beijing,2,-12,-4.9,2,-16.4,-6.3,-11.5,63.1,0,0,0,,,,,10.8,326.9,1027.6,9.2,4.8,107,9.3,4,,2013-01-18T07:33:03,2013-01-18T17:16:56,0.21,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
19,2013/1/19,Beijing,3,-9,-2.2,1.1,-10.2,-4.2,-10,57.3,0,0,0,,,,,12.5,81.4,1029.5,15.4,5.5,90,7.7,4,,2013-01-19T07:32:33,2013-01-19T17:18:04,0.25,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
20,2013/1/20,Beijing,-0.9,-4.3,-2.3,-0.9,-7.1,-3.4,-6.1,77.2,1.8,100,8.33,"rain,snow",,,,10.8,61.2,1030.9,91.8,5.8,47,4,2,,2013-01-20T07:32:00,2013-01-20T17:19:13,0.27,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,precipitation,"ZBAA,54511099999"
21,2013/1/21,Beijing,4,-6,-1.5,3,-8.2,-3.6,-5.5,76.6,0,0,0,,,,,14.4,5.6,1029,27.3,6.4,87.6,7.5,3,,2013-01-21T07:31:26,2013-01-21T17:20:22,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
22,2013/1/22,Beijing,-1,-13,-6,-1,-13,-8.1,-7.8,88.2,0,0,0,,,,,10.8,141,1029.1,30.2,3.1,113.8,9.7,5,,2013-01-22T07:30:50,2013-01-22T17:21:32,0.34,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
23,2013/1/23,Beijing,-3,-8,-5.1,-4.1,-10,-6.9,-6.6,89.5,0,0,0,,,,,12.8,171.3,1019.6,41.3,1.6,100,8.6,5,,2013-01-23T07:30:11,2013-01-23T17:22:42,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
24,2013/1/24,Beijing,5.1,-7,-0.7,1,-9.5,-5,-15.6,33.2,0,0,0,,,,50.4,36,321.3,1023,1.7,14.3,134.7,11.7,5,,2013-01-24T07:29:31,2013-01-24T17:23:53,0.4,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
25,2013/1/25,Beijing,-0.9,-13,-6.6,-0.9,-19.1,-8.9,-15.5,51,0,0,0,,,,,10.8,30.7,1024,10,13.1,131.6,11.5,5,,2013-01-25T07:28:49,2013-01-25T17:25:04,0.43,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
26,2013/1/26,Beijing,2.1,-12.9,-5.4,-0.1,-17.5,-7.3,-10.8,68.7,0,0,0,,,,,14.4,157.2,1027.5,7.2,7.6,131.4,11.5,5,,2013-01-26T07:28:05,2013-01-26T17:26:15,0.47,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
27,2013/1/27,Beijing,-0.1,-10,-4.6,-0.1,-14.1,-6.5,-6.8,84.8,0,0,0,,,,,7.2,95.4,1027.9,18.9,2.9,120.2,10.5,5,,2013-01-27T07:27:19,2013-01-27T17:27:27,0.5,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
28,2013/1/28,Beijing,4,-5,-1.9,2.2,-7.1,-3.2,-5.1,79.9,0,0,0,,,,,10.8,155.3,1021.7,24,2,124.3,10.8,5,,2013-01-28T07:26:31,2013-01-28T17:28:39,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
29,2013/1/29,Beijing,-2.2,-7.9,-4.2,-2.8,-9.4,-5.8,-5,93.7,0,0,0,,,,,9.1,141,1025.6,69.3,1.1,104.5,9,5,,2013-01-29T07:25:41,2013-01-29T17:29:51,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
30,2013/1/30,Beijing,-1.3,-4,-2.8,-2,-7.1,-4.8,-4.5,88,0,0,0,,,,,10.8,75.1,1026.2,100,1.9,62.4,5.3,3,,2013-01-30T07:24:50,2013-01-30T17:31:03,0.61,Overcast,Cloudy skies throughout the day.,overcast,"ZBAA,54511099999"
31,2013/1/31,Beijing,0.9,-2,-1.1,-0.8,-4.7,-2.9,-2.2,92.7,0.5,100,4.17,"rain,snow",,,,14.4,13.3,1024,99.5,1.6,61.4,5.3,3,,2013-01-31T07:23:57,2013-01-31T17:32:15,0.64,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,precipitation,"ZBAA,54511099999"
32,2013/2/1,Beijing,3,-5,-1,-1,-9.8,-5.7,-11.5,50.6,0,0,0,,,,,25.2,11.2,1028.2,17.2,14,139.8,11.9,6,,2013-02-01T07:23:02,2013-02-01T17:33:28,0.68,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
33,2013/2/2,Beijing,4.1,-11,-2.6,2.3,-16.7,-5.4,-14.4,42.3,0,0,0,,,,,10.8,34.2,1031.8,29.4,14.9,141.7,12.1,6,,2013-02-02T07:22:05,2013-02-02T17:34:40,0.71,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
34,2013/2/3,Beijing,-1.1,-5,-2.6,-1.1,-9.5,-4.6,-4.3,88.6,2.8,100,12.5,"rain,snow",,,,10.8,77,1021.1,77.9,3.5,38.4,3.3,1,,2013-02-03T07:21:07,2013-02-03T17:35:52,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,precipitation,"ZBAA,54511099999"
35,2013/2/4,Beijing,1,-7,-2.9,1,-12.4,-7,-12,52.6,0,0,0,,,,,32.4,20.4,1028.4,20.8,14.1,160.4,13.9,6,,2013-02-04T07:20:07,2013-02-04T17:37:05,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
36,2013/2/5,Beijing,-1,-8,-3.4,-2,-8.3,-6.2,-5.7,84.2,1,100,4.17,snow,,,,10.8,171.9,1024.3,69.5,9.1,78,6.6,3,,2013-02-05T07:19:06,2013-02-05T17:38:17,0.82,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,precipitation,"ZBAA,54511099999"
37,2013/2/6,Beijing,4,-11,-4.9,0,-17.6,-9.8,-15.6,54.4,0,0,0,,,,,43.2,347.6,1026.3,10.7,10.3,158.4,13.6,6,,2013-02-06T07:18:03,2013-02-06T17:39:29,0.85,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
38,2013/2/7,Beijing,-4,-16,-9.2,-6.8,-22.7,-15.3,-25.1,27.1,0,0,0,,,,,36,8.1,1038.2,45.4,16.7,166.7,14.3,6,,2013-02-07T07:16:58,2013-02-07T17:40:41,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
39,2013/2/8,Beijing,-3,-12.9,-7.7,-7,-19.1,-11.3,-19.9,38.6,0,0,0,,,,,18,150.1,1035.9,42.2,14.7,149.2,12.9,6,,2013-02-08T07:15:52,2013-02-08T17:41:53,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
40,2013/2/9,Beijing,3,-13,-5.1,3,-13,-7.5,-13.9,53.5,0,0,0,,,,,10.8,77.9,1026,15.6,7.7,138.7,11.9,5,,2013-02-09T07:14:45,2013-02-09T17:43:05,0.96,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
41,2013/2/10,Beijing,1,-7.6,-2.9,-0.1,-9.9,-6.6,-18.9,29.3,0,0,0,,,,,21.6,29.7,1030.8,62.9,14,98.3,8.4,4,,2013-02-10T07:13:36,2013-02-10T17:44:16,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
42,2013/2/11,Beijing,-0.9,-9,-4.5,-2,-12.9,-7,-13.7,49.2,0,0,0,,,,,14.4,49.6,1032.8,37.7,10.3,101,8.7,4,,2013-02-11T07:12:26,2013-02-11T17:45:28,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
43,2013/2/12,Beijing,5.2,-8.9,-1.3,1.5,-11.3,-4,-11.4,53.6,0,0,0,,,,43.2,25.2,228.5,1026.2,8,8,163.7,14.2,6,,2013-02-12T07:11:14,2013-02-12T17:46:39,0.06,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
44,2013/2/13,Beijing,5.1,-8.2,-2.3,2.6,-10.6,-3.9,-6.6,74.6,0,0,0,,,,,14.4,141.3,1022,14.3,3.3,159.5,13.9,6,,2013-02-13T07:10:01,2013-02-13T17:47:50,0.09,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
45,2013/2/14,Beijing,3,-4.1,0.1,3,-9.3,-3.5,-15.4,33.7,0,0,0,,,,,25.2,26.9,1026.6,72.3,13.5,116,10,5,,2013-02-14T07:08:47,2013-02-14T17:49:01,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
46,2013/2/15,Beijing,3.1,-11,-1.7,1.1,-17.8,-5.2,-15.1,37.6,0,0,0,,,,,21.6,223.5,1028.4,12.7,15.4,170.6,14.7,6,,2013-02-15T07:07:32,2013-02-15T17:50:11,0.16,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
47,2013/2/16,Beijing,3.1,-7.9,-1.6,1.1,-9.4,-3.7,-8.2,61.2,0,0,0,,,,,11,136.5,1022.3,44.2,9.1,114,9.8,5,,2013-02-16T07:06:15,2013-02-16T17:51:21,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
48,2013/2/17,Beijing,6,-3,1.2,1.8,-5.9,-1.5,-11.3,53.7,0,0,0,,,,,36,356.3,1020.4,60.4,8.4,111.2,9.5,4,,2013-02-17T07:04:57,2013-02-17T17:52:31,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
49,2013/2/18,Beijing,4,-5,-0.2,2.2,-9.2,-3.4,-16.2,30.3,0,0,0,,,,,21.6,7.4,1027.4,81.9,14,129.9,11.3,5,,2013-02-18T07:03:38,2013-02-18T17:53:41,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
50,2013/2/19,Beijing,2,-7.9,-3,-2,-13.7,-7.3,-19.7,28.1,0,0,0,,,,,25.2,25.6,1029.8,5.9,16.5,184.7,16,7,,2013-02-19T07:02:18,2013-02-19T17:54:50,0.28,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
51,2013/2/20,Beijing,6.6,-10,-1.8,6.1,-10,-3.3,-13.6,46.9,0,0,0,,,,,10.8,55.8,1027.6,0,11.4,170.7,14.8,6,,2013-02-20T07:00:57,2013-02-20T17:55:59,0.32,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
52,2013/2/21,Beijing,3,-6,-1.9,1,-9.4,-4.3,-6.3,73.5,0,0,0,,,,,10.8,105.4,1028.3,30.7,4.6,154.9,13.3,6,,2013-02-21T06:59:35,2013-02-21T17:57:08,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
53,2013/2/22,Beijing,7.1,-7,0.8,4.4,-12.9,-2.2,-16.9,37,0,0,0,,,,39.6,25.2,324.2,1029.7,0,12.3,196.2,17,7,,2013-02-22T06:58:12,2013-02-22T17:58:16,0.38,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
54,2013/2/23,Beijing,10,-8,0.8,9.2,-11.8,-0.4,-12.9,40.1,0,0,0,,,,,10.8,145.1,1027.7,0,9.2,181.7,15.8,7,,2013-02-23T06:56:48,2013-02-23T17:59:24,0.41,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
55,2013/2/24,Beijing,4.2,-5,0.7,4.1,-8.3,-0.3,-7.1,56.8,0,0,0,,,,,8.9,60.8,1026.1,20.1,4.3,126.7,11,5,,2013-02-24T06:55:23,2013-02-24T18:00:32,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
56,2013/2/25,Beijing,1.7,-2,-0.2,1,-4.7,-2,-4.2,75.2,0,0,0,,,,,10.8,53.3,1027.3,76.4,4.7,65,5.6,2,,2013-02-25T06:53:57,2013-02-25T18:01:40,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
57,2013/2/26,Beijing,11,-6.9,1.5,11,-11.8,-0.5,-5,66.2,0,0,0,,,,,14.4,243.4,1020.4,19.1,4.6,119.4,10.1,3,,2013-02-26T06:52:31,2013-02-26T18:02:47,0.5,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
58,2013/2/27,Beijing,16,-5.9,5,16,-9.5,4.1,-7.8,51.9,0,0,0,,,,,18,15.4,1016.9,8.9,5.8,187.3,16.2,7,,2013-02-27T06:51:03,2013-02-27T18:03:54,0.55,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
59,2013/2/28,Beijing,11.1,0.5,4.3,11.1,-6,1.1,-9.7,47.7,0,0,0,,,,75.6,50.4,331.7,1014.5,52.8,8,103.2,8.8,4,,2013-02-28T06:49:35,2013-02-28T18:05:00,0.58,Partially cloudy,Partly cloudy throughout the day.,overcast,"ZBAA,54511099999"
60,2013/3/1,Beijing,6.1,-3,0.9,3.8,-10.5,-3.8,-22.4,16.2,0,0,0,,,,79.2,57.6,348.2,1032.3,19.4,16.7,216.7,18.6,8,,2013-03-01T06:48:06,2013-03-01T18:06:06,0.62,Clear,Clear conditions throughout the day.,overcast,"ZBAA,54511099999"
61,2013/3/2,Beijing,4.1,-5,0,2.2,-9.2,-2,-16.5,29.1,0,0,0,,,,,14.4,30.4,1033.1,86.6,13.6,98.9,8.6,4,,2013-03-02T06:46:36,2013-03-02T18:07:12,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
62,2013/3/3,Beijing,17,-6,4.1,17,-10.7,3.4,-13.1,34.3,0,0,0,,,,,18,328.4,1020.6,10.6,10.7,205,17.8,7,,2013-03-03T06:45:06,2013-03-03T18:08:18,0.69,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
63,2013/3/4,Beijing,15,-2,8.7,15,-2.5,7.2,-14.5,20.6,0,0,0,,,,28.8,25.2,286.7,1023.3,0.4,15.8,219.2,19,8,,2013-03-04T06:43:35,2013-03-04T18:09:23,0.73,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
64,2013/3/5,Beijing,14.4,-3,6.6,14.4,-3.6,6.1,-8.2,36.4,0,0,0,,,,,14.4,161.7,1016.8,12,8.8,189.1,16.2,7,,2013-03-05T06:42:03,2013-03-05T18:10:28,0.75,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
65,2013/3/6,Beijing,14,2,6.9,14,-1.1,5.6,-5.2,43.6,0,0,0,,,,,14.4,347.7,1013,15.7,5.7,86.5,7.3,3,,2013-03-06T06:40:31,2013-03-06T18:11:33,0.8,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
66,2013/3/7,Beijing,19,-3,8,19,-6,7.6,-2.5,53,0,0,0,,,,,14.4,142.8,1008.3,16.2,3.3,197,16.9,7,,2013-03-07T06:38:58,2013-03-07T18:12:38,0.83,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
67,2013/3/8,Beijing,21,0,8.9,21,-3.5,8.1,-1.9,50.3,0,0,0,,,,,28.8,125.6,1005.2,21.5,5.4,195.8,16.7,7,,2013-03-08T06:37:25,2013-03-08T18:13:42,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
68,2013/3/9,Beijing,17.9,1,7,17.9,-2.3,5.2,-12.1,33.9,0,0,0,,,,79.2,57.6,339.8,1009,36.3,11.5,204.3,17.6,7,,2013-03-09T06:35:51,2013-03-09T18:14:46,0.9,Partially cloudy,Partly cloudy throughout the day.,overcast,"ZBAA,54511099999"
69,2013/3/10,Beijing,12.1,-4,4.9,12.1,-4,3.6,-15.3,25.6,0,0,0,,,,,21.6,201.7,1026.6,0.4,15.6,230.8,19.9,8,,2013-03-10T06:34:17,2013-03-10T18:15:50,0.94,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
70,2013/3/11,Beijing,12.1,-1.9,5.7,12.1,-1.9,4.8,-7.3,40.3,0,0,0,,,,,18,163,1020,12.9,9.4,188.2,16.4,7,,2013-03-11T06:32:42,2013-03-11T18:16:53,0.98,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
71,2013/3/12,Beijing,8,3,5,7.6,1.1,4,1.1,77.8,4.6,100,12.5,rain,,,,10.8,33.2,1014.3,66.5,5.2,89.3,7.7,3,,2013-03-12T06:31:07,2013-03-12T18:17:56,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,precipitation,"ZBAA,54511099999"
72,2013/3/13,Beijing,8,-1,3.5,8,-4.7,0.9,-12,34.6,0,0,0,,,,,18,51.4,1028.4,3.3,16,241.5,20.9,8,,2013-03-13T06:29:32,2013-03-13T18:18:59,0.04,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
73,2013/3/14,Beijing,10.1,-2,3.3,10.1,-4.8,1.4,-4.5,59.3,0,0,0,,,,,21.6,165.2,1027.8,17.9,10.6,206,17.9,7,,2013-03-14T06:27:56,2013-03-14T18:20:02,0.08,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
74,2013/3/15,Beijing,11.4,-2,5.1,11.4,-3.6,4.7,-1.4,65,0,0,0,,,,,10.8,161.8,1020.4,19.8,4.4,192.3,16.5,7,,2013-03-15T06:26:20,2013-03-15T18:21:05,0.11,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
75,2013/3/16,Beijing,14,2,8.5,14,-1.1,7.3,0.1,58.4,0,0,0,,,,32.4,14.4,146.2,1022.6,25,4,173.2,14.9,7,,2013-03-16T06:24:44,2013-03-16T18:22:07,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
76,2013/3/17,Beijing,16,3,8.8,16,1,8.4,2.3,65,0,0,0,,,,,10.8,168.6,1008.3,22.6,3.5,202.6,17.6,7,,2013-03-17T06:23:07,2013-03-17T18:23:09,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
77,2013/3/18,Beijing,12,1.9,8,12,-2.4,5.5,-11.3,32,0,0,0,,,,28.8,46.8,350.3,1006.6,55.1,13.5,186.4,16.1,8,,2013-03-18T06:21:31,2013-03-18T18:24:11,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
78,2013/3/19,Beijing,5.2,-1,2.1,2.6,-4.7,-0.4,-1.7,76.8,0.3,100,4.17,rain,,,,18,48.6,1014.2,66.7,11,193.4,16.8,7,,2013-03-19T06:19:54,2013-03-19T18:25:13,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,precipitation,"ZBAA,54511099999"
79,2013/3/20,Beijing,6,-3,1.2,3.7,-6,-1.6,-4,72.7,5,100,8.33,"rain,snow",,,,18,216.9,1023.3,46.1,8.5,244.2,21,8,,2013-03-20T06:18:17,2013-03-20T18:26:15,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,precipitation,"ZBAA,54511099999"
80,2013/3/21,Beijing,8.3,-0.1,3.9,8,-3.5,1.8,-2.7,62.7,0,0,0,,,,,18,105.5,1011,20.4,7.8,203.6,17.6,7,,2013-03-21T06:16:40,2013-03-21T18:27:16,0.3,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
81,2013/3/22,Beijing,10,2,6,7.7,-2.4,3.5,-6.3,43.1,0,0,0,,,,39.6,21.6,168.7,1017.2,5.8,12.7,244.6,21,8,,2013-03-22T06:15:03,2013-03-22T18:28:18,0.33,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
82,2013/3/23,Beijing,12.2,0,4.3,12.2,-4.3,1.5,-6.7,50.3,0,0,0,,,,,46.8,11.4,1014.2,26.8,12.2,218.2,18.8,7,,2013-03-23T06:13:25,2013-03-23T18:29:19,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
83,2013/3/24,Beijing,9.1,-1,4.4,8.1,-6.1,1.5,-15.2,24.5,0,0,0,,,,28.8,21.6,33.2,1022.2,24.9,16,263.7,22.9,9,,2013-03-24T06:11:48,2013-03-24T18:30:20,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
84,2013/3/25,Beijing,11,-1.9,4.8,11,-4.7,3.1,-7.3,44.7,0,0,0,,,,32.4,14.4,157.9,1021.3,1.3,12.2,241,20.8,8,,2013-03-25T06:10:11,2013-03-25T18:31:21,0.43,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
